date,coin_id,coin_name,symbol,price_usd,market_cap_usd,volume_24h_usd,price_change_pct,scraped_at,market_cap_usd_imputed,volume_24h_usd_imputed,is_outlier
2023-03-22,internet-computer,Internet Computer,ICP,5.11,1575663181.0,41613160.0,,2026-03-21T11:50:45.374779+00:00,False,False,False
2023-03-23,internet-computer,Internet Computer,ICP,5.23,1517250932.0,67287371.0,2.3483365949119372,2026-03-21T11:50:45.374342+00:00,False,False,False
2023-03-24,internet-computer,Internet Computer,ICP,4.98,1557395162.0,29774144.0,-4.780114722753348,2026-03-21T11:50:45.373907+00:00,False,False,False
2023-03-25,internet-computer,Internet Computer,ICP,4.93,1483930217.0,37627125.0,-1.0040160642570406,2026-03-21T11:50:45.373461+00:00,False,False,False
2023-03-26,internet-computer,Internet Computer,ICP,5.0,1466155460.0,26324260.0,1.4198782961460488,2026-03-21T11:50:45.373021+00:00,False,False,False
2023-03-27,internet-computer,Internet Computer,ICP,4.78,1496849336.0,21401760.0,-4.399999999999993,2026-03-21T11:50:45.372582+00:00,False,False,False
2023-03-28,internet-computer,Internet Computer,ICP,4.84,1422650334.0,34880320.0,1.2552301255229992,2026-03-21T11:50:45.372144+00:00,False,False,False
2023-03-29,internet-computer,Internet Computer,ICP,5.15,1442290789.0,25144182.0,6.404958677685957,2026-03-21T11:50:45.371711+00:00,False,False,False
2023-03-30,internet-computer,Internet Computer,ICP,5.03,1535458393.0,41895605.0,-2.3300970873786464,2026-03-21T11:50:45.371272+00:00,False,False,False
2023-03-31,internet-computer,Internet Computer,ICP,5.2,1496483459.0,38187772.0,3.379721669980107,2026-03-21T11:50:45.370838+00:00,False,False,False
2023-04-01,internet-computer,Internet Computer,ICP,5.25,1551951600.0,39297743.0,0.9615384615384581,2026-03-21T11:50:45.370399+00:00,False,False,False
2023-04-02,internet-computer,Internet Computer,ICP,5.08,1563809147.0,29300590.0,-3.23809523809524,2026-03-21T11:50:45.369964+00:00,False,False,False
2023-04-03,internet-computer,Internet Computer,ICP,4.93,1510787941.0,36937714.0,-2.952755905511817,2026-03-21T11:50:45.369529+00:00,False,False,False
2023-04-04,internet-computer,Internet Computer,ICP,5.0,1470431166.0,48540084.0,1.4198782961460488,2026-03-21T11:50:45.369094+00:00,False,False,False
2023-04-05,internet-computer,Internet Computer,ICP,5.02,1487446203.0,35829299.0,0.40000000000000036,2026-03-21T11:50:45.368659+00:00,False,False,False
2023-04-06,internet-computer,Internet Computer,ICP,4.89,1501053499.0,40874333.0,-2.589641434262946,2026-03-21T11:50:45.368198+00:00,False,False,False
2023-04-07,internet-computer,Internet Computer,ICP,5.0,1461830952.0,32686857.0,2.249488752556239,2026-03-21T11:50:45.367576+00:00,False,False,False
2023-04-08,internet-computer,Internet Computer,ICP,4.92,1491435462.0,36235963.0,-1.6000000000000014,2026-03-21T11:50:45.367137+00:00,False,False,False
2023-04-09,internet-computer,Internet Computer,ICP,5.02,1468538783.0,24480392.0,2.0325203252032464,2026-03-21T11:50:45.366707+00:00,False,False,False
2023-04-10,internet-computer,Internet Computer,ICP,5.19,1500088619.0,28409305.0,3.3864541832669515,2026-03-21T11:50:45.366272+00:00,False,False,False
2023-04-11,internet-computer,Internet Computer,ICP,5.34,1569742216.0,40309665.0,2.890173410404606,2026-03-21T11:50:45.365839+00:00,False,False,False
2023-04-12,internet-computer,Internet Computer,ICP,5.41,1612763821.0,43032694.0,1.310861423220988,2026-03-21T11:50:45.365402+00:00,False,False,False
2023-04-13,internet-computer,Internet Computer,ICP,5.47,1639210464.0,62352050.0,1.109057301293892,2026-03-21T11:50:45.364963+00:00,False,False,False
2023-04-14,internet-computer,Internet Computer,ICP,5.5,1653454525.0,41416551.0,0.5484460694698434,2026-03-21T11:50:45.364528+00:00,False,False,False
2023-04-15,internet-computer,Internet Computer,ICP,5.91,1666184623.0,52621268.0,7.454545454545447,2026-03-21T11:50:45.364091+00:00,False,False,False
2023-04-16,internet-computer,Internet Computer,ICP,6.08,1796061202.0,55004365.0,2.876480541455151,2026-03-21T11:50:45.363654+00:00,False,False,False
2023-04-17,internet-computer,Internet Computer,ICP,6.26,1840705128.0,73497536.0,2.960526315789469,2026-03-21T11:50:45.363216+00:00,False,False,False
2023-04-18,internet-computer,Internet Computer,ICP,6.81,1893715658.0,99498420.0,8.785942492012765,2026-03-21T11:50:45.362785+00:00,False,False,False
2023-04-19,internet-computer,Internet Computer,ICP,6.11,2948434677.0,144137074.0,-10.279001468428772,2026-03-21T11:50:45.362354+00:00,False,False,False
2023-04-20,internet-computer,Internet Computer,ICP,5.88,2655489322.0,165691093.0,-3.764320785597386,2026-03-21T11:50:45.361919+00:00,False,False,False
2023-04-21,internet-computer,Internet Computer,ICP,5.53,2550105788.0,77421777.0,-5.952380952380942,2026-03-21T11:50:45.361483+00:00,False,False,False
2023-04-22,internet-computer,Internet Computer,ICP,5.63,2396478904.0,66774472.0,1.8083182640144635,2026-03-21T11:50:45.361046+00:00,False,False,False
2023-04-23,internet-computer,Internet Computer,ICP,5.43,2442921423.0,35762664.0,-3.5523978685612856,2026-03-21T11:50:45.360612+00:00,False,False,False
2023-04-24,internet-computer,Internet Computer,ICP,5.38,2346696997.0,34614910.0,-0.9208103130755041,2026-03-21T11:50:45.360176+00:00,False,False,False
2023-04-25,internet-computer,Internet Computer,ICP,5.49,2341510957.0,32856856.0,2.0446096654275214,2026-03-21T11:50:45.359739+00:00,False,False,False
