date,open,high,low,close,volume,market_cap
2022-12-14,17782.07,18318.53,17652.1,17652.1,25900123362.0,339521782854.0
2022-12-15,17813.64,17846.74,17322.59,17364.86,20964448341.0,334010450284.0
2022-12-16,17364.55,17505.53,16584.7,16647.48,24031608960.0,320225997954.0
2022-12-17,16646.98,16800.59,16614.03,16795.09,14463581825.0,323078968932.0
2022-12-18,16795.61,16815.39,16697.82,16757.98,10924354698.0,322379914497.0
2022-12-19,16759.04,16807.53,16398.14,16439.68,17221074814.0,316271488937.0
2022-12-20,16441.79,17012.98,16427.87,16906.31,22722096615.0,325263465985.0
2022-12-21,16904.53,16916.8,16755.91,16817.53,14882945045.0,323570505190.0
2022-12-22,16818.38,16866.67,16592.41,16830.34,16441573050.0,323831438044.0
2022-12-23,16829.64,16905.22,16794.46,16796.95,15329265213.0,323203056786.0
2022-12-24,16796.98,16864.7,16793.53,16847.76,9744636213.0,324190184506.0
2022-12-25,16847.51,16860.55,16755.25,16841.99,11656379938.0,324093186301.0
2022-12-26,16842.25,16920.12,16812.37,16919.81,11886957804.0,325604307791.0
2022-12-27,16919.29,16959.85,16642.07,16717.17,15748580239.0,321717198701.0
2022-12-28,16716.4,16768.17,16497.56,16552.57,17005713920.0,318567071312.0
2022-12-29,16552.32,16651.76,16508.68,16642.34,14472237479.0,320309344586.0
2022-12-30,16641.33,16643.43,16408.48,16602.59,15929162910.0,319559502980.0
2022-12-31,16603.67,16628.99,16517.52,16547.5,11239186456.0,318516317872.0
2023-01-01,16547.91,16630.44,16521.23,16625.08,9244361700.0,320025834692.0
2023-01-02,16625.51,16759.34,16572.23,16688.47,12097775227.0,321262452551.0
2023-01-03,16688.85,16760.45,16622.37,16679.86,13903079207.0,321111951655.0
2023-01-04,16680.2,16964.59,16667.76,16863.24,18421743322.0,324658229825.0
2023-01-05,16863.47,16884.02,16790.28,16836.74,13692758566.0,324163886550.0
2023-01-06,16836.47,16991.99,16716.42,16951.97,14413662913.0,326401273259.0
2023-01-07,16952.12,16975.02,16914.19,16955.08,7714767174.0,326478273137.0
2023-01-08,16954.15,17091.14,16924.05,17091.14,9768827914.0,329114546384.0
2023-01-09,17093.99,17389.96,17093.99,17196.55,18624736866.0,331160060320.0
2023-01-10,17192.95,17484.72,17162.99,17446.29,15808338949.0,335987993694.0
2023-01-11,17446.36,17987.63,17337.99,17943.9,18307186523.0,346303640718.0
2023-01-12,17944.07,19030.09,17919.23,18869.59,34971338710.0,363433455081.0
2023-01-13,18868.91,19964.32,18753.16,19909.57,29225029694.0,383483154874.0
2023-01-14,19910.54,21075.14,19907.83,20976.3,38967784639.0,404052157141.0
2023-01-15,20977.48,20993.75,20606.99,20880.8,19298407543.0,402234665331.0
2023-01-16,20882.22,21360.87,20715.75,21169.63,26792494050.0,407818156777.0
2023-01-17,21175.83,21438.66,20978.53,21161.52,24999983362.0,407681958151.0
2023-01-18,21161.05,21564.5,20541.54,20688.78,30005625418.0,398593008037.0
2023-01-19,20686.75,21163.01,20685.38,21086.79,21152848261.0,406279900295.0
2023-01-20,21085.37,22692.36,20919.13,22676.55,28799154319.0,436928964721.0
2023-01-21,22677.43,23282.35,22511.83,22777.63,32442278429.0,438896650641.0
2023-01-22,22777.99,23056.73,22387.9,22720.42,24746386230.0,437814457018.0
2023-01-23,22721.09,23126.49,22654.3,22934.43,26518700512.0,441960667797.0
2023-01-24,22929.63,23134.01,22549.74,22636.47,26405069715.0,436237993964.0
2023-01-25,22639.27,23722.1,22406.08,23117.86,30685366709.0,445539806080.0
2023-01-26,23108.95,23237.08,22911.37,23032.78,26357839322.0,443923229458.0
2023-01-27,23030.72,23417.72,22654.59,23078.73,25383335641.0,444830940521.0
2023-01-28,23079.96,23165.9,22908.85,23031.09,14712928379.0,443936922524.0
2023-01-29,23031.45,23919.89,22985.07,23774.57,27423687259.0,458291157032.0
2023-01-30,23774.65,23789.35,22657.58,22840.14,27205595568.0,440298767855.0
2023-01-31,22840.8,23225.02,22765.57,23139.28,22837828665.0,446082285297.0
2023-02-01,23137.84,23764.54,22877.75,23723.77,26683255504.0,457370104398.0
2023-02-02,23720.82,24167.21,23468.6,23471.87,32066936882.0,452534728124.0
2023-02-03,23469.41,23678.1,23279.96,23449.32,27083066007.0,452119476084.0
2023-02-04,23446.32,23556.95,23291.8,23331.85,15639298538.0,449874457148.0
2023-02-05,23332.25,23423.44,22841.76,22955.67,19564262605.0,442642331536.0
2023-02-06,22954.02,23119.28,22692.03,22760.11,23825006542.0,438893838655.0
2023-02-07,22757.27,23310.98,22756.26,23264.29,27187964471.0,448636152158.0
2023-02-08,23263.42,23367.96,22731.1,22939.4,25371367758.0,442391167095.0
2023-02-09,22946.57,22996.44,21773.97,21819.04,32572572185.0,420806214870.0
2023-02-10,21819.01,21941.19,21539.39,21651.18,27078406594.0,417588395182.0
2023-02-11,21651.84,21891.41,21618.45,21870.87,16356226232.0,421847190488.0
2023-02-12,21870.9,22060.99,21682.83,21788.2,17821046406.0,420274300806.0
2023-02-13,21787.0,21898.41,21460.09,21808.1,23918742607.0,420678828415.0
2023-02-14,21801.82,22293.14,21632.39,22220.8,26792596581.0,428662088256.0
2023-02-15,22220.59,24307.84,22082.77,24307.84,32483312909.0,468947166603.0
2023-02-16,24307.35,25134.12,23602.52,23623.47,39316664596.0,455770787833.0
2023-02-17,23621.28,24924.04,23460.76,24565.6,41358451255.0,473972409615.0
2023-02-18,24565.3,24798.84,24468.37,24641.28,19625427158.0,475459130855.0
2023-02-19,24640.03,25093.06,24327.64,24327.64,25555105670.0,469431477134.0
2023-02-20,24336.62,25020.46,23927.91,24829.15,28987376573.0,479132405758.0
2023-02-21,24833.05,25126.85,24200.36,24436.35,31252098714.0,471577656114.0
2023-02-22,24437.42,24472.34,23644.32,24188.84,30199996781.0,466821375594.0
2023-02-23,24190.72,24572.09,23693.92,23947.49,30476264066.0,462189287816.0
2023-02-24,23946.01,24103.7,23007.07,23198.13,26811744928.0,447747058644.0
2023-02-25,23200.13,23210.21,22861.56,23175.38,16100721565.0,447323985683.0
2023-02-26,23174.15,23654.37,23084.22,23561.21,16644534842.0,454795165823.0
2023-02-27,23561.45,23857.89,23205.88,23522.87,22660763494.0,454075216420.0
2023-02-28,23521.84,23585.38,23077.65,23147.35,20535363434.0,446846764116.0
2023-03-01,23150.93,23880.63,23088.63,23646.55,24662841200.0,456508161673.0
2023-03-02,23647.02,23739.14,23245.02,23475.47,20386398516.0,453226586696.0
2023-03-03,23476.63,23479.35,22213.24,22362.68,26062404610.0,431765463286.0
2023-03-04,22362.92,22405.18,22198.98,22353.35,11166012913.0,431607268094.0
2023-03-05,22354.14,22613.69,22307.14,22435.51,13317001733.0,433216160786.0
