date,coin_id,coin_name,symbol,price_usd,market_cap_usd,volume_24h_usd,price_change_pct,scraped_at
2026-03-21,ripple,XRP,XRP,,88646559783.0,1850800038.0,,2026-03-21T11:50:44.896980+00:00
2026-03-20,ripple,XRP,XRP,1.45,88659694188.0,2614487501.0,,2026-03-21T11:50:44.897433+00:00
2026-03-19,ripple,XRP,XRP,1.45,89592778375.0,2914165815.0,,2026-03-21T11:50:44.897979+00:00
2026-03-18,ripple,XRP,XRP,1.46,92990449114.0,4451986671.0,,2026-03-21T11:50:44.898434+00:00
2026-03-17,ripple,XRP,XRP,1.52,94585455614.0,4188142910.0,,2026-03-21T11:50:44.898901+00:00
2026-03-16,ripple,XRP,XRP,1.54,88605526348.0,1990572081.0,,2026-03-21T11:50:44.899355+00:00
2026-03-15,ripple,XRP,XRP,1.45,86036778580.0,1211608279.0,,2026-03-21T11:50:44.899806+00:00
2026-03-14,ripple,XRP,XRP,1.41,85618459862.0,3377254711.0,,2026-03-21T11:50:44.900250+00:00
2026-03-13,ripple,XRP,XRP,1.4,84850665656.0,1901864325.0,,2026-03-21T11:50:44.900694+00:00
2026-03-12,ripple,XRP,XRP,1.39,84824110149.0,2328024071.0,,2026-03-21T11:50:44.901145+00:00
2026-03-11,ripple,XRP,XRP,1.39,84868343014.0,3336499531.0,,2026-03-21T11:50:44.901587+00:00
2026-03-10,ripple,XRP,XRP,1.39,83420913725.0,2706872342.0,,2026-03-21T11:50:44.902031+00:00
2026-03-09,ripple,XRP,XRP,1.36,82191986491.0,1770535716.0,,2026-03-21T11:50:44.902470+00:00
2026-03-08,ripple,XRP,XRP,1.34,83045360925.0,1042569287.0,,2026-03-21T11:50:44.902910+00:00
2026-03-07,ripple,XRP,XRP,1.36,83497860867.0,2304975520.0,,2026-03-21T11:50:44.903356+00:00
2026-03-06,ripple,XRP,XRP,1.36,85837269777.0,2611958630.0,,2026-03-21T11:50:44.903799+00:00
2026-03-05,ripple,XRP,XRP,1.4,87391300642.0,4321077863.0,,2026-03-21T11:50:44.904246+00:00
2026-03-04,ripple,XRP,XRP,1.43,83177383072.0,2736394718.0,,2026-03-21T11:50:44.904686+00:00
2026-03-03,ripple,XRP,XRP,1.36,85165748422.0,3240402574.0,,2026-03-21T11:50:44.905126+00:00
2026-03-02,ripple,XRP,XRP,1.39,82518608292.0,3267559226.0,,2026-03-21T11:50:44.905569+00:00
2026-03-01,ripple,XRP,XRP,1.35,84262604899.0,3931422571.0,,2026-03-21T11:50:44.906010+00:00
2026-02-28,ripple,XRP,XRP,1.38,82808396105.0,3165932990.0,,2026-03-21T11:50:44.906453+00:00
2026-02-27,ripple,XRP,XRP,1.36,85538873929.0,3252541993.0,,2026-03-21T11:50:44.906896+00:00
2026-02-26,ripple,XRP,XRP,1.4,87170656589.0,4839052372.0,,2026-03-21T11:50:44.907346+00:00
2026-02-25,ripple,XRP,XRP,1.43,82332540594.0,2746681235.0,,2026-03-21T11:50:44.907791+00:00
2026-02-24,ripple,XRP,XRP,1.35,82526476193.0,3468618376.0,,2026-03-21T11:50:44.908236+00:00
2026-02-23,ripple,XRP,XRP,1.35,84804267354.0,1531030572.0,,2026-03-21T11:50:44.908678+00:00
2026-02-22,ripple,XRP,XRP,1.39,87411395034.0,1396583496.0,,2026-03-21T11:50:44.909117+00:00
2026-02-21,ripple,XRP,XRP,1.43,87127134985.0,2681151957.0,,2026-03-21T11:50:44.909556+00:00
2026-02-20,ripple,XRP,XRP,1.43,85850017343.0,2332530531.0,,2026-03-21T11:50:44.909992+00:00
2026-02-19,ripple,XRP,XRP,1.41,86399241398.0,2113377622.0,,2026-03-21T11:50:44.910425+00:00
2026-02-18,ripple,XRP,XRP,1.42,89834881630.0,2267375192.0,,2026-03-21T11:50:44.910862+00:00
2026-02-17,ripple,XRP,XRP,1.47,90610720943.0,2965693648.0,,2026-03-21T11:50:44.911304+00:00
2026-02-16,ripple,XRP,XRP,1.49,89761800847.0,5459731415.0,,2026-03-21T11:50:44.911760+00:00
2026-02-15,ripple,XRP,XRP,1.47,91976917573.0,2484156385.0,,2026-03-21T11:50:44.912226+00:00
2026-02-14,ripple,XRP,XRP,1.51,85650029662.0,2463087588.0,,2026-03-21T11:50:44.912667+00:00
2026-02-13,ripple,XRP,XRP,1.41,82929969245.0,2433891204.0,,2026-03-21T11:50:44.913106+00:00
2026-02-12,ripple,XRP,XRP,1.36,83298868780.0,3267070270.0,,2026-03-21T11:50:44.913542+00:00
2026-02-11,ripple,XRP,XRP,1.37,85271701641.0,2324945354.0,,2026-03-21T11:50:44.913981+00:00
2026-02-10,ripple,XRP,XRP,1.4,87665589710.0,4073940625.0,,2026-03-21T11:50:44.914421+00:00
2026-02-09,ripple,XRP,XRP,1.44,87440675893.0,2648330091.0,,2026-03-21T11:50:44.914861+00:00
2026-02-08,ripple,XRP,XRP,1.43,86823610818.0,5106195924.0,,2026-03-21T11:50:44.915293+00:00
2026-02-07,ripple,XRP,XRP,1.43,89768174962.0,11254054037.0,,2026-03-21T11:50:44.915731+00:00
2026-02-06,ripple,XRP,XRP,1.47,74627934933.0,12032460869.0,,2026-03-21T11:50:44.916169+00:00
2026-02-05,ripple,XRP,XRP,1.22,92410244673.0,4489356873.0,,2026-03-21T11:50:44.916610+00:00
2026-02-04,ripple,XRP,XRP,1.52,95712683975.0,3968540367.0,,2026-03-21T11:50:44.917051+00:00
2026-02-03,ripple,XRP,XRP,1.57,98619699556.0,4890476935.0,,2026-03-21T11:50:44.917491+00:00
2026-02-02,ripple,XRP,XRP,1.62,97028843949.0,4426810244.0,,2026-03-21T11:50:44.917932+00:00
2026-02-01,ripple,XRP,XRP,1.59,99939565671.0,6100029929.0,,2026-03-21T11:50:44.918374+00:00
2026-01-31,ripple,XRP,XRP,1.64,105432128839.0,4982772913.0,,2026-03-21T11:50:44.918824+00:00
2026-01-30,ripple,XRP,XRP,1.73,109849188045.0,4578118342.0,,2026-03-21T11:50:44.919461+00:00
2026-01-29,ripple,XRP,XRP,1.81,116052628994.0,2284142099.0,,2026-03-21T11:50:44.919945+00:00
2026-01-28,ripple,XRP,XRP,1.91,116574716598.0,2185133793.0,,2026-03-21T11:50:44.920411+00:00
2026-01-27,ripple,XRP,XRP,1.92,115887503699.0,3018423074.0,,2026-03-21T11:50:44.920872+00:00
2026-01-26,ripple,XRP,XRP,1.9,111546255616.0,2684312945.0,,2026-03-21T11:50:44.921324+00:00
2026-01-25,ripple,XRP,XRP,1.83,116446105795.0,968018842.0,,2026-03-21T11:50:44.921784+00:00
2026-01-24,ripple,XRP,XRP,1.91,116806714475.0,2457868833.0,,2026-03-21T11:50:44.922256+00:00
2026-01-23,ripple,XRP,XRP,1.92,116745867275.0,2482726666.0,,2026-03-21T11:50:44.922702+00:00
2026-01-22,ripple,XRP,XRP,1.92,118174939473.0,4373543601.0,,2026-03-21T11:50:44.923144+00:00
2026-01-21,ripple,XRP,XRP,1.94,114737701418.0,3560105108.0,,2026-03-21T11:50:44.923586+00:00
2026-01-20,ripple,XRP,XRP,1.89,120903244309.0,4484499455.0,,2026-03-21T11:50:44.924026+00:00
2026-01-19,ripple,XRP,XRP,1.99,121358650248.0,1781139048.0,,2026-03-21T11:50:44.924467+00:00
