date,open,high,low,close,volume,market_cap
2022-12-14,0.3951,0.3953,0.38,0.38,896146097.0,19151759659.0
2022-12-15,0.3864,0.3867,0.3754,0.3782,739736057.0,19061409182.0
2022-12-16,0.3782,0.3796,0.3481,0.352,1061370203.0,17720304137.0
2022-12-17,0.3519,0.3564,0.3488,0.3548,590468250.0,17862371950.0
2022-12-18,0.3548,0.355,0.3486,0.3503,313888826.0,17633841640.0
2022-12-19,0.3503,0.3526,0.3343,0.3389,986711247.0,17059893035.0
2022-12-20,0.3389,0.3528,0.3373,0.3494,932296715.0,17588658613.0
2022-12-21,0.3493,0.3502,0.3397,0.346,743732204.0,17419840851.0
2022-12-22,0.346,0.3498,0.3424,0.3496,685101342.0,17600066503.0
2022-12-23,0.3496,0.3545,0.3477,0.3543,577979156.0,17835345727.0
2022-12-24,0.3543,0.3543,0.3515,0.3522,225391032.0,17729913121.0
2022-12-25,0.3522,0.3522,0.3447,0.3464,323700210.0,17438570226.0
2022-12-26,0.3464,0.3691,0.346,0.3657,797909103.0,18411763328.0
2022-12-27,0.3657,0.3723,0.3594,0.3681,905248563.0,18532744797.0
2022-12-28,0.3681,0.3685,0.3561,0.3565,839617676.0,17949002163.0
2022-12-29,0.3565,0.3572,0.3389,0.3428,898022518.0,17260084064.0
2022-12-30,0.3428,0.3453,0.3353,0.345,672119602.0,17369345853.0
2022-12-31,0.345,0.3451,0.3399,0.3399,337167278.0,17113207466.0
2023-01-01,0.3399,0.3399,0.3363,0.3388,290828851.0,17054534692.0
2023-01-02,0.3388,0.3541,0.3216,0.3486,1325787126.0,17547510208.0
2023-01-03,0.3485,0.351,0.342,0.3438,811872325.0,17385025779.0
2023-01-04,0.3438,0.3509,0.3428,0.3478,803671745.0,17585797404.0
2023-01-05,0.3478,0.3483,0.3375,0.338,669029812.0,17092550653.0
2023-01-06,0.338,0.3455,0.3328,0.3446,741263420.0,17426551243.0
2023-01-07,0.3446,0.3455,0.342,0.3443,334559534.0,17407484301.0
2023-01-08,0.3443,0.3455,0.3392,0.3454,515669684.0,17462625811.0
2023-01-09,0.3453,0.3566,0.3443,0.3493,1420062936.0,17684746759.0
2023-01-10,0.3493,0.3538,0.3453,0.3512,815342810.0,17780977375.0
2023-01-11,0.3513,0.376,0.3487,0.3742,1498360174.0,18941118475.0
2023-01-12,0.374,0.3783,0.3659,0.3752,1226464922.0,18993713034.0
2023-01-13,0.3752,0.3864,0.3706,0.3858,990539135.0,19565403265.0
2023-01-14,0.3858,0.4079,0.3858,0.3954,1601102466.0,20054205585.0
2023-01-15,0.3955,0.3962,0.3811,0.3849,829206058.0,19518617706.0
2023-01-16,0.3849,0.405,0.3809,0.3866,1454332113.0,19604528433.0
2023-01-17,0.3866,0.3975,0.3802,0.3877,1025137174.0,19662095659.0
2023-01-18,0.3877,0.3952,0.3713,0.3795,1484076132.0,19243271452.0
2023-01-19,0.3794,0.3952,0.3776,0.3938,1108881766.0,19970150795.0
2023-01-20,0.3938,0.4134,0.387,0.4133,1053958522.0,20996583989.0
2023-01-21,0.4134,0.4159,0.4033,0.4035,1037235129.0,20498230600.0
2023-01-22,0.4036,0.4111,0.3979,0.401,780764704.0,20367877364.0
2023-01-23,0.401,0.4311,0.4004,0.4249,1980513812.0,21585790614.0
2023-01-24,0.4248,0.4295,0.4057,0.4077,1265360172.0,20710242909.0
2023-01-25,0.4077,0.4235,0.3995,0.4177,1104907019.0,21217485483.0
2023-01-26,0.4176,0.4178,0.4077,0.4101,892174687.0,20831970200.0
2023-01-27,0.4101,0.4132,0.4009,0.4128,813986938.0,20971290063.0
2023-01-28,0.4128,0.4155,0.407,0.4081,508978347.0,20734689639.0
2023-01-29,0.4081,0.4171,0.4073,0.4138,566580331.0,21020729836.0
2023-01-30,0.4138,0.4204,0.3912,0.3946,1240049824.0,20046644678.0
2023-01-31,0.3946,0.4109,0.3897,0.4064,1026848071.0,20646015949.0
2023-02-01,0.4064,0.4154,0.398,0.4139,1066789793.0,21027200595.0
2023-02-02,0.4138,0.4185,0.4095,0.4097,996287377.0,20816618785.0
2023-02-03,0.4097,0.4135,0.4074,0.4122,848078651.0,20939632902.0
2023-02-04,0.4121,0.4193,0.4083,0.4113,583121354.0,20893933584.0
2023-02-05,0.4113,0.4119,0.3963,0.3989,758068911.0,20265653497.0
2023-02-06,0.399,0.4034,0.3922,0.3928,950972502.0,19955080919.0
2023-02-07,0.3928,0.4046,0.3909,0.4039,1015414418.0,20517939407.0
2023-02-08,0.4039,0.4053,0.3953,0.3981,853007396.0,20220699735.0
2023-02-09,0.3981,0.4071,0.3772,0.3825,1488178634.0,19428934744.0
2023-02-10,0.3824,0.3876,0.3786,0.3826,877457864.0,19438033625.0
2023-02-11,0.3826,0.3841,0.3809,0.384,436697705.0,19507269578.0
2023-02-12,0.384,0.3849,0.3745,0.3753,492457255.0,19064006848.0
2023-02-13,0.3752,0.3782,0.3641,0.3717,1129015396.0,18880739386.0
2023-02-14,0.3716,0.3832,0.3656,0.3824,1022310518.0,19425948221.0
2023-02-15,0.3824,0.4019,0.3772,0.4014,1072284900.0,20388301260.0
2023-02-16,0.4013,0.4036,0.3851,0.3852,1194494182.0,19565603697.0
2023-02-17,0.3851,0.3996,0.3829,0.3953,969213569.0,20080955306.0
2023-02-18,0.3953,0.3968,0.3919,0.3946,499633442.0,20046859910.0
2023-02-19,0.3946,0.3976,0.3862,0.3863,727659069.0,19624545306.0
2023-02-20,0.3864,0.4073,0.3817,0.3985,1354318620.0,20244683947.0
2023-02-21,0.3985,0.4014,0.3881,0.3919,1103766687.0,19908418400.0
2023-02-22,0.3919,0.3964,0.3839,0.3956,1114714971.0,20155453553.0
2023-02-23,0.3956,0.3975,0.3867,0.3891,917426306.0,19826512169.0
